                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8109,                  8.887,                 1.8361,                0.11049,                0.66707,                0.15564,                0.08565,                 1.4922,                  13.33,                  1.594,             0.00018326,             0.00018326,             0.00018326
                      2,                 1.3948,                  2.783,                 1.5045,                0.21402,                0.61001,                0.24414,                0.13693,                 1.6356,                 3.3029,                 1.8557,             0.00037114,             0.00037114,             0.00037114
                      3,                  1.372,                 2.3107,                 1.5236,                0.31349,                0.49788,                  0.254,                0.15035,                 1.5174,                   2.26,                 1.7582,             0.00055522,             0.00055522,             0.00055522
                      4,                 1.4174,                 2.1775,                 1.5574,                0.22762,                0.39438,                0.21074,                0.11455,                 1.6553,                 2.5528,                 1.9518,             0.00073552,             0.00073552,             0.00073552
                      5,                 1.4395,                 2.0338,                 1.5271,                0.16332,                0.27487,                0.16799,                0.09695,                 1.9003,                 6.0707,                 2.0647,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.4314,                  2.049,                  1.553,                0.29222,                0.45073,                0.18294,                0.10602,                 1.7497,                 2.4456,                 1.9498,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.3778,                  1.922,                 1.5144,                0.42808,                 0.3315,                0.13697,                 0.0703,                  2.061,                 2.8102,                 2.2758,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.4074,                 1.9688,                 1.5326,                0.20722,                0.40631,                0.18695,                0.10439,                 1.6328,                 2.6753,                 1.8449,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.3759,                 1.8282,                 1.5213,                0.20137,                0.52781,                0.20665,                0.11671,                 1.7391,                 2.3631,                  1.903,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.3294,                 1.7596,                  1.472,                 0.2328,                0.57583,                0.25079,                0.14856,                 1.6146,                 2.1175,                 1.8194,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.3394,                 1.7435,                   1.48,                0.21505,                0.52807,                 0.2133,                0.12006,                 1.6735,                 2.3396,                 1.8749,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.2957,                 1.6711,                 1.4291,                 0.2518,                0.56142,                0.28722,                0.16801,                 1.5876,                 2.0364,                 1.7672,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.3063,                 1.7229,                 1.4297,                 0.2094,                0.53445,                0.23426,                0.12231,                 1.8973,                 2.3973,                 2.0357,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.2768,                 1.6321,                 1.4271,                0.34374,                0.40589,                0.22497,                 0.1333,                 1.6568,                    2.1,                 1.8238,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.2645,                 1.6701,                 1.4278,                0.19828,                0.57666,                 0.2503,                0.14974,                 1.5659,                 2.1343,                 1.7679,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.2448,                 1.5858,                 1.4088,                0.22691,                0.60223,                0.24827,                0.15097,                 1.7037,                 2.1824,                 1.8868,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.2294,                 1.5281,                 1.4118,                0.23433,                0.55024,                0.26142,                0.16271,                 1.6243,                 2.2964,                 1.7768,             0.00070105,             0.00070105,             0.00070105
                     18,                  1.233,                  1.575,                 1.3735,                 0.2222,                0.59608,                0.24518,                0.15111,                 1.6658,                 2.1509,                 1.8762,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.2182,                 1.4974,                 1.3634,                0.24578,                0.48908,                 0.2125,                0.13071,                 1.6497,                 2.5838,                 1.8295,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.1576,                 1.4249,                 1.3288,                0.24492,                 0.5631,                0.25083,                 0.1561,                 1.6484,                 2.2764,                 1.8167,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.1908,                 1.3982,                 1.3558,                0.27621,                0.50924,                0.25876,                0.15972,                 1.6455,                 2.2922,                 1.7891,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.1723,                 1.4214,                 1.3394,                0.24085,                0.59529,                0.25612,                0.15815,                 1.6109,                 2.0351,                 1.7937,             0.00065982,             0.00065982,             0.00065982
                     23,                 1.1559,                 1.3914,                 1.3461,                0.27603,                0.57315,                0.28958,                0.18401,                 1.6229,                 2.0514,                 1.8004,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.1396,                 1.3431,                 1.3273,                0.21661,                0.54257,                0.26466,                0.16185,                 1.6798,                 2.3158,                 1.8944,             0.00064333,             0.00064333,             0.00064333
                     25,                 1.0976,                 1.3288,                 1.3078,                 0.2582,                0.58926,                0.28244,                0.17954,                 1.6467,                 2.2284,                 1.8423,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.1256,                 1.3307,                 1.3074,                0.24421,                0.65805,                0.28697,                0.18265,                 1.7258,                 2.0043,                 1.9356,             0.00062683,             0.00062683,             0.00062683
                     27,                 1.0344,                 1.2306,                 1.2613,                0.27587,                0.61165,                0.28725,                0.18701,                 1.6114,                 2.0507,                 1.8307,             0.00061859,             0.00061859,             0.00061859
                     28,                 1.0544,                 1.2211,                  1.258,                0.29797,                0.59155,                 0.2721,                0.16685,                 1.6842,                 2.1521,                 1.8487,             0.00061034,             0.00061034,             0.00061034
                     29,                 1.0582,                 1.2303,                 1.2691,                0.24658,                 0.5045,                0.25648,                0.16362,                 1.7212,                 2.2616,                 1.9343,             0.00060209,             0.00060209,             0.00060209
                     30,                 1.0407,                 1.3004,                 1.2578,                0.25286,                0.51111,                 0.2627,                0.16852,                 1.6241,                 2.3339,                 1.8546,             0.00059385,             0.00059385,             0.00059385
                     31,                 1.0401,                 1.2076,                 1.2797,                0.21675,                0.48235,                0.24765,                0.15825,                 1.6861,                 2.5212,                 1.9151,              0.0005856,              0.0005856,              0.0005856
                     32,                  1.016,                  1.202,                 1.2381,                0.27582,                0.62975,                0.29112,                0.18656,                 1.6038,                 2.0864,                 1.8823,             0.00057735,             0.00057735,             0.00057735
                     33,                0.98422,                 1.1423,                 1.2243,                0.25387,                0.47552,                0.27481,                0.18125,                 1.5837,                 2.5216,                  1.812,             0.00056911,             0.00056911,             0.00056911
                     34,                 0.9933,                 1.1681,                 1.2299,                0.24938,                0.63462,                0.28841,                0.18729,                 1.6419,                 2.1458,                   1.86,             0.00056086,             0.00056086,             0.00056086
                     35,                0.95562,                 1.1475,                  1.203,                0.30716,                0.58651,                0.26846,                0.17167,                 1.6235,                 2.3941,                 1.8563,             0.00055261,             0.00055261,             0.00055261
                     36,                0.94738,                 1.1279,                 1.1907,                0.25975,                0.55179,                0.26687,                0.17437,                 1.5986,                 2.3082,                 1.8385,             0.00054437,             0.00054437,             0.00054437
                     37,                0.90912,                 1.0984,                 1.1745,                0.25819,                0.53814,                0.26525,                0.17552,                 1.6078,                 2.3481,                 1.8749,             0.00053612,             0.00053612,             0.00053612
                     38,                0.94099,                 1.1105,                 1.1916,                0.26281,                0.54913,                0.26137,                0.17134,                 1.6743,                 2.3506,                 1.9642,             0.00052787,             0.00052787,             0.00052787
                     39,                0.91142,                 1.1174,                   1.18,                0.28421,                0.48405,                0.27005,                0.17822,                 1.6752,                 2.5574,                 1.8897,             0.00051963,             0.00051963,             0.00051963
                     40,                0.89922,                 1.0724,                 1.1603,                0.30557,                0.56902,                0.29852,                0.19537,                 1.6401,                 2.2373,                 1.8658,             0.00051138,             0.00051138,             0.00051138
                     41,                0.93471,                 1.0836,                 1.1682,                0.27199,                0.56358,                0.28332,                0.18672,                 1.6128,                 2.3037,                  1.876,             0.00050313,             0.00050313,             0.00050313
                     42,                 0.9091,                 1.0582,                 1.1649,                0.25988,                0.55425,                0.27806,                0.18506,                 1.5856,                 2.4446,                 1.8778,             0.00049489,             0.00049489,             0.00049489
                     43,                0.87695,                 1.0744,                 1.1509,                0.26225,                0.56207,                0.24956,                0.16688,                 1.6303,                 2.4172,                 1.9129,             0.00048664,             0.00048664,             0.00048664
                     44,                0.86729,                 1.0254,                 1.1432,                0.29631,                0.55095,                0.27267,                 0.1809,                 1.5743,                 2.4946,                 1.8627,             0.00047839,             0.00047839,             0.00047839
                     45,                0.87111,                 1.0621,                 1.1563,                0.28295,                0.54184,                0.25221,                0.16499,                 1.5941,                 2.3699,                 1.8622,             0.00047015,             0.00047015,             0.00047015
                     46,                0.81706,                0.98195,                 1.1075,                0.27343,                  0.607,                0.26061,                0.17359,                 1.5612,                 2.3827,                 1.8078,              0.0004619,              0.0004619,              0.0004619
                     47,                0.81882,                  0.998,                 1.1088,                0.27487,                0.47293,                0.25692,                0.17301,                 1.6301,                 2.6725,                 1.8671,             0.00045365,             0.00045365,             0.00045365
                     48,                0.81166,                0.98493,                 1.1041,                 0.2901,                0.51861,                0.25049,                0.15872,                 1.7027,                 2.7075,                  1.982,             0.00044541,             0.00044541,             0.00044541
                     49,                 0.8047,                0.98911,                 1.1047,                0.27401,                0.53028,                0.26261,                0.17161,                 1.6192,                 2.6369,                 1.8826,             0.00043716,             0.00043716,             0.00043716
                     50,                 0.7795,                 0.9785,                 1.0908,                 0.3006,                0.55397,                0.26727,                0.17171,                   1.67,                 2.4645,                 1.9285,             0.00042891,             0.00042891,             0.00042891
                     51,                0.78295,                0.93861,                 1.0862,                0.30545,                0.47162,                0.24554,                0.15117,                 1.7309,                 2.6803,                  1.986,             0.00042066,             0.00042066,             0.00042066
                     52,                0.78404,                 0.9727,                 1.1021,                0.28443,                0.45717,                0.24802,                0.16136,                 1.6724,                 2.8081,                 1.9191,             0.00041242,             0.00041242,             0.00041242
                     53,                  0.776,                0.93828,                  1.086,                0.25801,                0.48847,                 0.2515,                 0.1671,                 1.6827,                 2.5854,                 1.9792,             0.00040417,             0.00040417,             0.00040417
                     54,                0.76844,                 0.9461,                 1.0835,                0.28618,                0.56599,                0.26447,                0.17341,                 1.6489,                 2.9962,                 1.9428,             0.00039592,             0.00039592,             0.00039592
                     55,                0.74412,                0.95347,                 1.0679,                0.26793,                0.42132,                0.24532,                0.16158,                 1.6586,                 3.0909,                 1.9322,             0.00038768,             0.00038768,             0.00038768
                     56,                0.74397,                 0.8996,                 1.0733,                0.27582,                0.40184,                0.25594,                0.17456,                 1.6285,                 2.8731,                 1.9343,             0.00037943,             0.00037943,             0.00037943
                     57,                0.73369,                0.90785,                 1.0585,                0.28284,                 0.4704,                0.26651,                0.16844,                 1.7018,                 2.8632,                 1.9721,             0.00037118,             0.00037118,             0.00037118
                     58,                0.71741,                0.90301,                 1.0429,                0.27905,                0.42931,                0.25265,                   0.17,                 1.6466,                 2.9676,                 1.9438,             0.00036294,             0.00036294,             0.00036294
                     59,                0.74545,                0.92928,                 1.0614,                0.27886,                0.46815,                0.26753,                0.17771,                 1.6255,                 2.7664,                 1.9264,             0.00035469,             0.00035469,             0.00035469
                     60,                0.69518,                0.88515,                 1.0479,                0.25238,                0.43491,                0.24685,                0.16122,                 1.6536,                 3.0388,                  1.942,             0.00034644,             0.00034644,             0.00034644
                     61,                0.69484,                0.89673,                 1.0371,                0.23843,                0.40489,                0.21713,                 0.1412,                 1.6507,                  3.355,                  1.934,              0.0003382,              0.0003382,              0.0003382
                     62,                0.70554,                0.89265,                 1.0486,                0.27532,                0.45016,                0.24808,                0.16176,                  1.674,                 2.9824,                 1.9627,             0.00032995,             0.00032995,             0.00032995
                     63,                0.69419,                0.88567,                 1.0289,                 0.2463,                0.47863,                 0.2425,                0.16275,                  1.661,                 3.3237,                 1.9227,              0.0003217,              0.0003217,              0.0003217
                     64,                0.66835,                0.88912,                  1.025,                0.25931,                0.43222,                0.24134,                0.15937,                 1.6888,                 2.9683,                 1.9899,             0.00031346,             0.00031346,             0.00031346
                     65,                0.67513,                0.89408,                 1.0229,                0.18454,                0.60485,                0.21726,                0.14781,                 1.6591,                 3.4971,                 1.9517,             0.00030521,             0.00030521,             0.00030521
                     66,                0.68105,                0.86682,                 1.0349,                0.24076,                0.40645,                 0.2406,                0.16255,                 1.5994,                 3.2104,                 1.8838,             0.00029696,             0.00029696,             0.00029696
                     67,                0.64881,                0.86407,                 1.0086,                0.21076,                0.66516,                0.24667,                0.16831,                 1.6333,                 3.1886,                 1.9268,             0.00028872,             0.00028872,             0.00028872
                     68,                0.63378,                0.84953,                 1.0093,                0.24396,                0.43238,                0.24707,                0.16527,                 1.5925,                 3.1241,                  1.882,             0.00028047,             0.00028047,             0.00028047
                     69,                0.64518,                0.84811,                 1.0126,                0.26363,                0.44019,                0.24487,                0.16468,                  1.632,                 3.1526,                 1.9415,             0.00027222,             0.00027222,             0.00027222
                     70,                0.62404,                0.85568,                 1.0079,                 0.2548,                0.35464,                0.22595,                0.14748,                 1.6889,                 3.4829,                 1.9894,             0.00026398,             0.00026398,             0.00026398
                     71,                0.61128,                 0.8262,                0.99391,                0.26944,                0.38343,                0.23943,                0.15452,                 1.7489,                 3.3867,                 2.0622,             0.00025573,             0.00025573,             0.00025573
                     72,                0.60015,                0.82168,                0.99591,                0.28074,                0.45493,                0.24121,                0.16426,                 1.7051,                 3.6349,                 2.0173,             0.00024748,             0.00024748,             0.00024748
                     73,                0.61152,                0.83303,                0.99541,                0.23009,                0.59168,                0.23487,                0.15801,                 1.7004,                 3.6354,                 1.9804,             0.00023924,             0.00023924,             0.00023924
                     74,                0.60824,                0.83972,                0.99106,                0.26259,                0.40315,                 0.2285,                0.15662,                 1.6245,                 3.4774,                 1.9186,             0.00023099,             0.00023099,             0.00023099
                     75,                0.59673,                 0.8023,                 1.0005,                0.26552,                0.42212,                0.22483,                0.15289,                 1.6441,                 3.7761,                  1.919,             0.00022274,             0.00022274,             0.00022274
                     76,                0.57529,                0.81536,                0.97992,                0.23209,                 0.6106,                0.24002,                 0.1614,                 1.6142,                 3.5085,                  1.929,              0.0002145,              0.0002145,              0.0002145
                     77,                0.59106,                0.82911,                0.98354,                0.21025,                0.55741,                 0.2293,                0.15688,                 1.6181,                 3.6589,                  1.934,             0.00020625,             0.00020625,             0.00020625
                     78,                0.57513,                 0.7958,                0.97961,                0.19794,                0.51997,                0.21437,                0.15167,                 1.6445,                 3.9014,                 1.9466,               0.000198,               0.000198,               0.000198
                     79,                 0.5782,                0.80463,                0.97613,                0.22306,                0.61223,                0.23842,                0.16324,                 1.6437,                 3.5477,                 1.9572,             0.00018976,             0.00018976,             0.00018976
                     80,                0.56368,                  0.794,                 0.9725,                0.20405,                0.52558,                0.21715,                0.15224,                 1.6329,                 3.8684,                 1.8879,             0.00018151,             0.00018151,             0.00018151
                     81,                0.54692,                0.78765,                0.97181,                0.20499,                0.48581,                0.21364,                0.14944,                 1.6187,                 3.9939,                 1.9055,             0.00017326,             0.00017326,             0.00017326
                     82,                0.54292,                0.80481,                0.96116,                0.22316,                0.54455,                0.23114,                0.15763,                 1.6229,                  3.781,                 1.9027,             0.00016502,             0.00016502,             0.00016502
                     83,                0.54158,                0.77766,                0.96743,                0.22989,                0.53853,                  0.227,                0.15476,                 1.6329,                 3.7801,                 1.9217,             0.00015677,             0.00015677,             0.00015677
                     84,                0.53021,                0.78925,                0.95845,                0.22499,                0.61548,                0.25041,                0.17139,                 1.5879,                 3.4832,                 1.8796,             0.00014852,             0.00014852,             0.00014852
                     85,                0.53863,                0.78161,                0.96347,                0.26717,                0.44784,                0.23928,                0.16697,                 1.6028,                 3.5777,                 1.9143,             0.00014028,             0.00014028,             0.00014028
                     86,                0.51952,                 0.7305,                0.94816,                0.23272,                0.54425,                0.23609,                0.16516,                  1.617,                 3.7319,                  1.912,             0.00013203,             0.00013203,             0.00013203
                     87,                0.52579,                0.78172,                0.95984,                0.23355,                0.48564,                0.21934,                0.15326,                 1.6191,                 3.9495,                 1.8857,             0.00012378,             0.00012378,             0.00012378
                     88,                0.50333,                0.74936,                0.94403,                 0.2429,                0.51391,                0.22592,                0.16019,                 1.6228,                 3.9501,                 1.9154,             0.00011554,             0.00011554,             0.00011554
                     89,                0.51151,                0.76083,                0.95993,                0.23001,                0.51751,                0.22247,                0.15591,                 1.6287,                 3.9469,                 1.9259,             0.00010729,             0.00010729,             0.00010729
                     90,                0.49863,                0.75049,                0.93649,                0.22554,                0.51522,                0.22148,                0.15695,                 1.6334,                 3.8509,                 1.9493,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.48766,                0.71905,                0.94758,                0.20106,                0.53892,                0.21182,                0.14652,                 1.6259,                 3.7289,                 1.9436,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.43557,                0.67039,                0.90603,                0.24885,                0.35102,                 0.2133,                 0.1523,                 1.6447,                 3.5889,                 1.9812,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.42464,                0.65989,                0.89144,                0.20631,                0.56292,                0.22629,                0.16109,                 1.6166,                 3.6576,                 1.9619,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.41026,                0.65173,                 0.8974,                0.22761,                0.52855,                0.22571,                0.16287,                 1.6156,                 3.7868,                 1.9474,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.39657,                0.65061,                 0.8912,                0.21762,                0.50283,                0.21903,                0.15919,                 1.6099,                 3.9106,                 1.9511,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.39074,                0.65016,                0.88325,                0.22696,                0.51802,                0.22556,                0.16095,                 1.6153,                 3.8887,                 1.9622,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.37989,                0.63717,                0.87924,                0.22484,                0.51347,                0.22303,                0.15935,                 1.6206,                 3.9164,                 1.9602,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.37361,                0.62728,                0.87072,                0.23161,                0.50615,                 0.2232,                0.16042,                 1.6151,                 3.9409,                 1.9622,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.37086,                0.62451,                0.87971,                0.23247,                0.50072,                0.22197,                0.15849,                 1.6148,                 3.9997,                 1.9543,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.37057,                0.64593,                0.88052,                0.23796,                0.50615,                0.22304,                0.16016,                 1.6165,                 4.0319,                 1.9568,             1.6577e-05,             1.6577e-05,             1.6577e-05
